Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
c31ca831a4a9dbab640da756d9cfa4d8b2443a518cfe17c3c971b856eab37da3,1258,221,1037,983,274,1134,1236655,11.37,443.00,0.05,0.01,0.23,0.11
d1d53aea41d7d14f7535a45808784e4f37ce1e3c816edf93a228039f460a0cdb,121,23,98,680,199,793,82366,302.25,1461.72,13.71,3.12,15.65,6.08
f0a53b2daea78c486802d000b21c6f2c3bdd1e819d9d6be4d35b8aed1b3e6a39,17,8,9,400,261,524,6809,0.05,458.30,0.01,0.00,0.01,0.01
5c0b0c8ffa9b253bd2bc82fc9ecf2da7cbee5a0a9ff8dea5fb6f14957fcb2bee,18,8,10,396,263,503,7142,0.05,473.62,0.01,0.00,0.01,0.01
725fb94d4928ac21698bcaa4bb46e10299947c3f50e56a95cf47ffb65451f5f6,46,17,29,653,162,941,30050,0.06,538.10,0.00,0.00,0.01,0.00
cc1a08fc52001418f33072f3a759fb0e469a70fa0129527929a6e05f8ab41dab,187,154,33,112,94,199,21104,281.82,168.26,1.84,8.81,2.60,6.02
d08d5a9936070cedb0c9afe03c1e9263c1aae35800b8f1f014eb1eb58bf30d00,12,5,7,420,225,559,5043,0.05,483.88,0.01,0.01,0.01,0.01
9ee2fa4d9dff3be480e2e0064070cc8e9d2e7821ba0f779001e0cf8fbed7c00c,72,34,38,569,317,794,40994,2.38,550.38,0.07,0.06,0.16,0.16
87a178681f266e71cab3bc9303f138913990530d877bc5333204f171060f1c10,538,196,342,748,530,874,402921,110.99,526.70,0.57,0.33,3.20,2.44
19fd1656a43a1b42302d4a01588cd2cfbd7da9f88bb2cb65ca80d72b7bb0e152,39,17,22,238,221,252,9315,87.94,335.25,5.50,4.19,6.50,5.73
a193235f1d1624842c47261318c86bd53f0befb0ee317f0eace5ea403da79343,150,145,5,433,418,868,65088,7.52,145.07,0.05,1.88,0.02,3.25
4419ffd59abdae18562858d2ae1da1c6a6e204e7fbec0375571d9986a92d1e6e,57,29,28,555,275,845,31672,0.29,467.89,0.01,0.01,0.02,0.03
72d08efcc41b7949c148e17ecebedb8858cf4a529ff6a4ea50646df4d8d4dd78,63,7,56,3730,230,4168,235025,0.34,3834.80,0.03,0.01,0.06,0.02
9e29c74a92c12cc4d0ac19f7ab48b2ef86a036f66ae54df23d2f0886bf07381a,61,8,53,5224,192,5984,318724,0.57,5805.85,0.08,0.01,0.17,0.06
