Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
c7ad438c574fe7fa480c3e56b256d1a975884bc14eedcb066b2d27c30589f8fb,623,175,448,865,460,1023,538934,2.89,602.78,0.02,0.01,0.06,0.04
bed23ecda585704a137f3465eff24174ad966d65156f624afa4fe9f8090d519e,15,7,8,386,230,521,5790,0.02,478.39,0.00,0.00,0.01,0.00
ace27f488b9f25ec31a9b807c3c50a1cb606e9d9abe7a986b843e6c2230018b7,24,12,12,29,31,28,710,165.00,3.08,15.00,14.36,0.00,3.30
d1936d4baec66112f377f72c25e0e9b9842c28921cf7ac7f198d81bc96fd06c0,158,71,87,753,617,865,119098,56.57,631.68,0.81,0.66,4.67,4.22
94c1d136d58356757a92fe6754e0115a42312db93de75db83f4f3560be2b6ecf,317127,279018,38109,1240,1351,423,393244181,115.22,386.02,0.00,0.00,0.05,0.15
17614319f6e850da0c1f2805de5d810456495f54266f5290562078d145dd5278,640,128,512,1087,51,1346,696199,0.09,531.26,0.00,0.00,0.00,0.00
01dd0202821982714e056bddf4e3181e69aa5f6fa619155a326456ff22502a2d,27,13,14,522,176,842,14096,0.13,586.98,0.01,0.01,0.01,0.01
1cbf518ef9affed10eddad5aef05cc1aa43c6f79bf337e98184250b8e8eebc2b,88,43,45,488,618,364,43006,24.12,544.77,0.57,0.55,3.17,3.09
e3ff767e5a257fc578c1be1c1d28e2b86dd319c31d4b31ceaed74363dc7a9b07,13,6,7,291,208,362,3788,0.13,380.99,0.03,0.02,0.03,0.03
2b32495217727ee23ac2a683be34894da26d1223349c9e314b6f056c59261b41,35,18,17,546,231,879,19111,0.81,596.16,0.05,0.05,0.16,0.17
f604fbad2af017c07dd3ea8c8db6be8a52e2c1437d64912a9c00b4dc0019b93a,17,8,9,371,260,469,6308,0.10,465.77,0.01,0.01,0.01,0.01
f2f038000d60ad096a6d903ccee3d3bb4696b712ca9c73dff74dd91199e64c6d,84,39,45,606,394,789,50929,0.10,619.13,0.00,0.00,0.00,0.00
dc38c0978f100995a82a7c5733a52663b55a3b2be1e03bb4cb50e80b42111dee,190,64,126,625,274,803,118809,4.98,624.90,0.08,0.04,0.40,0.29
