Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
63cf1a6250942b83232edd37acd512f84e852a8c7e8a6f9b8f3a9b58c9bfd2fb,572,67,505,1079,595,1143,617344,194.71,502.69,2.95,0.39,5.95,2.43
6e7bb01859d4dc06014c07b59966c6f92d684aa73e6d3e1cc13feff02ac3db6f,57,40,17,145,97,258,8279,186.31,248.29,4.78,11.51,8.26,23.85
faeebdb41256ac9b3376e2cb46c0d486ebd27f91f8fefc37893c8d9a6a0c43b3,24,12,12,501,751,251,12036,164.12,473.22,14.92,14.91,31.92,32.06
d153a2c9041a4805eb6391f8f6f06c7c67514d88d9d1664198c2af530338279b,12,6,6,41,43,40,498,150.64,1.50,30.12,30.12,0.10,0.10
d85b0ad8fb754a1917772875183a2ea21fe3af29aeaf01fe08e74b65e0f6a009,12,6,6,33,35,31,396,156.03,2.00,31.20,30.97,0.38,0.31
3273434ff7d2b78f7a81ff07adaf8f8b261b3281c7f7a083ffa2c6c3e8584317,23,8,15,78,62,87,1811,166.14,74.44,23.73,11.80,27.81,23.16
d843bd818d72cfd2abd7f76e92565a84a7e61c7298e0ba968bd589840c00742c,14,7,7,445,299,591,6240,3.33,434.78,0.55,0.20,0.62,0.28
06fa05da41de2189846b14258d90513e29ba3dc20534e48d0dc7773dad0077b1,43,16,27,478,216,633,20557,10.68,557.21,0.68,0.40,2.30,1.77
d3ceab2641253a5830b6fcde568e6c41af24bed30d3421079a9672f011a40460,53,43,10,963,1087,431,51068,70.04,545.78,1.67,7.76,6.02,11.34
d9387e2c8331f870df8defb066f08643cf73f045eef0e7d6227949404e928e12,11,5,6,603,245,901,6636,60.22,504.31,15.05,0.06,25.95,0.11
ebf27baa2d7c85e9e066a5c54ee69727c1d94614e057f02189f22732a29a43c1,12,7,5,176,49,354,2123,60.02,403.03,10.00,14.99,22.28,25.90
8c98715a8d530aa19cdb3eb0e08baa18a16cc4a3bc28cd502a0cd3ccf0918d82,29,9,20,875,560,1017,25387,67.10,540.76,8.39,3.52,11.26,6.79
8349bcc6dafc2da96e5f82e4d1dd9ad3bdd26238dc67b50259f5e40e73d09e5c,22,9,13,819,564,996,18036,51.16,546.07,6.40,4.25,11.24,9.59
