Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
b523f916d4a4b6b0a9ea975085ea16172c48ecf3f7556b154c9a0be8cb306d6c,19,10,9,212,127,307,4040,170.21,326.73,18.91,14.65,26.77,25.35
958f070476beadc6d2e46ad15a7624b54331fbe987b3886fe057c5897eda4e2b,2018,372,1646,2764,591,3256,5579725,174.15,7214.04,0.47,0.11,3.37,1.63
f74a3bc975efcd107cc0993ff464717efd67fe5314da11afd5024cdfb3aac4eb,290,102,188,623,261,819,180787,34.46,604.07,0.34,0.18,1.96,1.45
197692aed71730f2f7c24ca90989b93a2fcebdad54ed78d00f9e6ea1cc24584b,85,36,49,542,217,780,46070,0.69,556.82,0.02,0.01,0.07,0.06
eb2edda1b7b9c2d26436189fca25c2b82d3209bd8042eb91b73edc3fe9121e80,26,12,14,208,306,123,5411,151.41,308.80,13.76,11.63,23.16,21.92
d66c785dc98094b733e4bb5724e6f896930f14c459f50c469f0d30de2a00b9fd,27,13,14,426,177,657,11514,0.10,537.29,0.01,0.01,0.01,0.01
c515c3e88ece8cb7390af3928daacc914bcf8476ba223439fd232c09c89c72a5,1079,291,788,786,175,1012,848505,74.22,621.18,0.26,0.09,1.79,1.10
4824f1dbbb489ceca1a70e2d768a6a530eae42b116dd2cdb736ca6790bc608a7,12,5,7,464,320,567,5575,0.16,547.00,0.03,0.02,0.02,0.03
a8e998cbbc3be412e147c7d433e029baccd687570a6d99a6be7d52d7cd3dbd15,1832,316,1516,1107,56,1326,2028448,38.60,511.24,0.12,0.03,1.44,0.66
26e8688521aaff529b7f354bb5804e4154136b848bda5cafdab4d739032be4aa,14,8,6,247,115,422,3459,170.61,374.48,24.37,23.51,28.19,28.79
4313b440a4281c2b65fc0d907664036b1550f169fb3871ce088613cc8b06afec,812,166,646,1052,82,1302,854918,35.09,545.40,0.21,0.05,2.21,1.12
0634c0dc8d7469694c26b78f0026d7a14921f9a4efad153a35182e6fd278ddbe,11,4,7,409,393,417,4499,0.07,501.87,0.01,0.01,0.01,0.01
73cb118e885f0915965e9062314b7e81e9912f2ac4b1388c15b4e1ab6c8c64e9,14,7,7,208,210,206,2916,0.03,262.74,0.00,0.00,0.01,0.00
caa713d1db358ee9a16ccf2a19b07a5dbd5552d470c3f9c3896abdada430326e,25,13,12,29,28,31,737,174.05,3.06,14.50,15.28,3.32,0.50
05e038e6be9777558785429126a9b7ac3fa759e5d867d1f125f49b6f4dda4aa7,24,8,16,836,160,1174,20083,0.10,592.21,0.01,0.00,0.01,0.01
dabbbeab5f4f8ae7ef22e440a37e91c7d320997c0827dfb7a11626361323b4e3,82,35,47,607,166,936,49836,32.86,621.36,0.97,0.71,5.04,4.35
c0a0e8c38cb7c4e3210014e36c323862300920c4e586dd261b6618b40558afb6,16,8,8,492,239,746,7883,0.07,547.76,0.01,0.01,0.01,0.01
ca65770fb962d90aec0d8de73fa86a70f708d97b730250926f47c07a538aad00,16,8,8,399,218,579,6386,0.13,492.21,0.02,0.01,0.02,0.02
15576c3896073c808a0261e11905ba8b6a7662245f6e638d5561805ba3e24126,17,9,8,504,205,840,8571,0.07,577.00,0.01,0.01,0.01,0.01
1457718248f337c4ba8ab5bc09e1b89cfcf72bab573a1d76363812607daab00b,2625,1026,1599,288,133,388,758310,58.75,410.13,0.06,0.04,0.66,0.53
b4f1f0675accaafd62c22c2d7e5371f1f8c864f60e62f3f3010a33bd92703bc2,3105,892,2213,891,117,1203,2768345,4.39,600.00,0.00,0.00,0.12,0.07
5d51754de70773b0880bfd760d856f053212230d203fe5f40657bf6bfa6b3886,1348,783,565,326,148,574,440713,0.98,447.39,0.00,0.00,0.00,0.01
add352bf29474f3a9cba85b50c919865a2956564bda174c3be03d58abb5e89f9,137,64,73,228,139,306,31326,0.86,337.69,0.01,0.01,0.04,0.04
6cf6d2371246b721c3600dd73bd4f1ec39b8ce2ef172a706c7fd55aeea005b2d,14,7,7,250,222,279,3511,0.03,311.86,0.00,0.00,0.01,0.00
040c27fbd5f60b6c61f5c307697fc980b7b379b0eb53cf0f93fc818c2030ccdc,62,24,38,675,257,939,41856,12.64,637.99,0.55,0.34,2.41,1.92
5b2397f4f812f6a691086413448c202a317fad9047753fe454243ed43f7c7d28,18,8,10,245,141,329,4427,117.75,336.49,16.82,13.08,26.57,24.46
29be7ecd2a911d81d406551ede44315d04031c52765b2c9a39572862ab2a2a52,17,9,8,503,255,782,8556,0.10,568.48,0.01,0.01,0.01,0.01
c3cc0b35fd34530c5d51c0687ebaf95e549cc4f47f4282488eaf625c5ed4f89b,28,16,12,420,148,783,11784,0.08,556.37,0.01,0.01,0.01,0.01
885975d36a3ae467724cc5831c50ed7d2f1e094340cb2a4a1577c373f2b4c2e9,21,11,10,534,176,928,11228,0.08,600.69,0.00,0.01,0.01,0.01
82f85dace09bac5f9a99e0761688a9e7b5e26d27c0c532ca29767f0d64530b43,453,97,356,1029,206,1253,466268,1.61,561.90,0.02,0.00,0.11,0.06
80e9756d2e2434c1e7417b9706a50dc1bb221d47322fb4bd6b6585584767a8bb,50,24,26,346,140,537,17349,0.29,496.98,0.01,0.01,0.01,0.01
d4fc6e26e49725a280ac6b5a9fd359105634a6fdc79ab71921d2b5642eaab6e2,19,9,10,232,188,272,4421,41.78,333.56,5.22,4.64,13.72,13.08
412f1e03ad42081173091871904cdd9900973cd26f982a161e27a4bd79adff82,95,39,56,592,196,868,56256,3.96,611.10,0.10,0.07,0.56,0.47
b83df3bd7c3a0c5025d90941469140f5177574bb95eb27600b35838c298532cf,127,67,60,237,208,270,30193,143.38,421.15,2.17,2.43,4.71,4.92
96500b69509d65e5cb3d81394eb17d7b3f41a81df265241ad669f93b35c8b8fd,45,23,22,470,286,663,21182,17.50,561.43,0.79,0.83,2.88,2.94
045015f3a2be993502f519e52075801c1204e64e818a27193931f2b88522acb7,25,13,12,465,171,783,11638,0.08,572.78,0.01,0.01,0.01,0.01
303b86519c17c2aa8413e89c8220e31bf0002615e41a84d9fc1a47fdeeb0ae4a,17,8,9,232,166,290,3945,117.53,349.98,16.79,14.69,26.50,25.41
07f7ab2602bacf36b55a80d00b0a000b0793e5268014097639027bdf54924dd3,14,6,8,355,273,416,4971,0.07,460.43,0.01,0.01,0.01,0.01
8533de90f7c0fce099b66b51a79bc2bd344cfb34b3bbd30a40334cb3d1e8c330,34,18,16,516,221,847,17546,0.21,580.87,0.01,0.01,0.02,0.03
ce7990d6e819d510c9b0d7c10323cabe46a8a23f97c4e3c07a10387f339051d2,26,10,16,409,155,569,10657,117.24,496.87,13.02,7.81,24.32,19.89
7dd688249ef2721086a6f6cbec87243dc3aa2b8d7099471473a8c123d6dc910e,21,10,11,542,202,851,11385,0.07,594.92,0.01,0.01,0.01,0.01
0f35629d2b261a986834bdda94530fcf9369cf144c504d18445336c3e5206897,18,8,10,488,158,753,8801,0.08,521.93,0.01,0.00,0.01,0.01
dd321fd042d3584126772e2c1899194d83ffc061d1faebc2e95eee79091a0bc8,34,15,19,613,162,968,20850,13.54,621.31,0.96,0.75,3.46,3.07
5adb1f495c652ca991ed3a0955a255c14f2be93ea0b32671de61a9b6c06deaec,14,7,7,208,210,206,2916,0.03,262.74,0.00,0.00,0.01,0.00
