Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
62baa29369a6c48bdd79fbacd18f9c332633c70584115f2b85f8c89613fcf741,12,4,8,297,148,371,3566,180.33,388.97,60.07,25.75,84.87,62.97
5919b355d323b9fe72d02c6797516c4800652da33d0873464782fe6f5814e98a,284,14,270,1306,472,1349,370992,61.89,311.64,4.76,0.23,16.02,3.67
3a2a51efda38b57548fea32e8d00ffc8ecb6817d9a275671310a849543288271,18,6,12,349,593,227,6292,57.48,444.59,11.50,5.21,20.44,14.97
b7569b20a2a2adf6991601b1a127cc68ba575a4e1771ff75e25df3dfa004b45f,14,5,9,51,51,51,718,165.18,27.92,41.25,20.63,0.00,16.85
92743c24bb67773e2595fa4ecc5e5de32ca76cfd7af6a905ad567dcf3a188799,98,20,78,833,544,907,81658,20.06,606.54,1.05,0.26,2.08,1.11
01d71376ce447789ab580a1d8fe4057157f186bf4d7ef2f6d7fcc989b7a107a7,63,7,56,1177,180,1302,74191,21.32,508.15,3.52,0.39,5.99,2.27
4623ebdb7a8f6c4b290f1dd7f4b20965654ad63eab08d2a9f812ce2d5d1e3294,13,6,7,499,177,775,6495,0.35,535.41,0.07,0.02,0.06,0.04
2d32145ad57e891fa5e3996c44361b3503aadec1d0a29cf3f79e443bb71273e8,100,8,92,1190,156,1280,119079,2.48,508.60,0.34,0.03,0.66,0.20
013c228784d2a4c8d2046d84a8fe549d2b645da656399ef599aa4896e4d2732f,32,9,23,911,375,1120,29158,47.06,500.91,5.88,2.14,10.45,6.88
c1ddc0f7c76910f4ed2a7a2e8f9e10c1c16323856d2cfedfd5bef7fb249e5464,22,9,13,311,169,409,6843,16.39,343.21,2.05,1.36,4.71,3.98
992b419a5e2afae68cc015938a21f414f10b2f0ef780b6e8e2bf9c028bd3845d,87,15,72,913,164,1069,79469,101.00,594.46,7.21,1.42,19.77,9.20
a73e05764ab1c78586d389b133026a59d285760d02b3e018ad5d56dfb79bfb8e,50,37,13,659,704,530,32950,53.66,481.67,1.49,2.80,3.78,2.76
