Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
2d20df6e0b72e53639be11664eb3406dc84eb8ce17d6dc38c5756884958b969a,230,149,81,838,696,1100,192874,356.09,1089.43,2.41,3.78,10.68,13.11
a6504a344c4c03c91ab41f6038c09d5489eb47f451f3409b20e69a4be332eeb6,48,18,30,4697,109,7450,225494,355.12,10089.94,20.89,10.41,25.74,20.91
f8f2ecf396806c250feb3591b741c3ca78c33e6c91263075ef1d53958ababfae,67,10,57,5945,54,6978,398330,353.90,6565.64,39.32,5.39,22.66,15.91
77cb57ddca700f7716cb52185dd1c349a28bc36691826a87e87ec01a86824ab5,70,33,37,581,471,678,40673,354.35,542.00,11.07,8.36,21.19,18.95
c581c9115b633c03a619a27515eb85a367a1ab08f94fb6e62b60f8390a30501a,50,26,24,29,28,30,1481,332.21,3.61,13.29,14.28,4.98,3.38
ab11623b446c7d36350a62ca3ec0d3d4ebb144a3db320626771da5cc35528399,585,88,497,15433,183,18133,9028385,351.32,14474.02,4.04,0.60,13.93,5.55
9d771958995a05b315146def99e981406bdde04bcec342760a5c2d754d104048,22,11,11,128,174,82,2819,174.33,184.40,17.43,12.20,25.79,23.38
126841e1db304150800a9676ee3de0036a361d8f9695a8eb6b7c4abeab7bd4bc,14,7,7,26,24,28,368,1500.80,2.12,250.13,250.13,111.65,111.58
eabc3cfc97043e04f42e8ac0306b137217c496d95a1c7473f3f6ba14099f9f83,39,24,15,517,547,470,20186,172.01,559.41,7.48,8.47,19.15,20.46
456cefec546679cd74b66b7eaef2c005059d4dabe1cf2f12359990c8a57e2d59,33,9,24,3980,134,5422,131353,170.37,4263.55,21.30,5.13,27.55,16.61
25de5159618af014dd7e5d761dad76e8a1e194548c455f40faea03e9e22dae13,17,9,8,244,137,364,4156,170.12,374.18,21.27,16.82,27.51,26.59
a9675016a745643197c606024edd8195af06aaef45d17f37bc172e70e385f498,24,14,10,413,369,475,9923,171.59,533.65,13.20,13.13,23.93,24.27
24b516f559fd5a12760be7769fa9d519b18f8688ac52c9978d661b81c642dad6,217,33,184,18913,181,22273,4104256,172.59,15307.15,5.39,0.65,16.60,6.11
9eef2c5290192779adb6e8e9ad0424ad06bb3c6a5b075f273d04e2223463ff59,71,44,27,579,604,537,41118,321.02,585.76,7.47,10.33,18.77,21.52
73b4573df11ce11b979a4128f9526d2920b6b66ab294409395fcaa101ef65cd6,82,12,70,6257,114,7310,513090,320.38,7964.58,29.12,4.64,27.61,15.33
a11be6a3cc98ee27e58c3a59f072738a44047b2da2bc84308783b1b203df6be8,25,12,13,380,119,622,9516,319.26,532.45,29.02,26.60,27.52,27.54
