Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type,inter packet time
2d20df6e0b72e53639be11664eb3406dc84eb8ce17d6dc38c5756884958b969a,195,127,68,872,710,1174,170092,153.780559,1151.8021512202326,0.792683293814433
ae08412dee0ddd08cb8f067b51951f1e375ad856d37b72a77956ba7732a0b919,1,1,0,24,24,0,24,0.0,0.0,0
a6504a344c4c03c91ab41f6038c09d5489eb47f451f3409b20e69a4be332eeb6,39,13,26,5736,132,8538,223719,145.805694,10931.791310774617,3.836991947368421
a6510b2d653fcfdc27425cecd2bbbb3092c977fa8e0c2090b318446c48c0e9b0,4,3,1,35,34,39,141,52.898197,6.49519052838329,17.632732333333333
f8f2ecf396806c250feb3591b741c3ca78c33e6c91263075ef1d53958ababfae,55,5,50,7169,61,7880,394317,145.588511,6639.774318727736,2.6960835370370373
77cb57ddca700f7716cb52185dd1c349a28bc36691826a87e87ec01a86824ab5,52,24,28,608,525,679,31638,147.039042,533.5138721487455,2.883118470588235
c581c9115b633c03a619a27515eb85a367a1ab08f94fb6e62b60f8390a30501a,26,14,12,29,29,31,778,175.032924,3.730570970148351,7.0013169600000005
ab11623b446c7d36350a62ca3ec0d3d4ebb144a3db320626771da5cc35528399,380,58,322,12363,187,14556,4697978,143.005465,11658.122033270693,0.37732312664907647
a13a418610c774c48ce86470a5d87b9d3e9e18a96d978ae385fe5aba4102b8c2,9,4,5,460,198,670,4144,0.031642,535.5593360862415,0.00395525
d3fa99eb0bc410a9eda40d22cbb67f2da4eac9d02f114eba7e27ca76370e3e72,2,2,0,31,31,0,63,0.00021,7.5,0.00021
8fc110ab88f67c0747b50533e2506b07472c899c4cbc05f41d51c0e2d2e2d6c1,4,3,1,35,34,39,141,53.329752,6.49519052838329,17.776584
8d038d42c6cededd625eee2595c468e138848a38717dae1d5f167b3837ec8ce1,4,3,1,35,34,39,141,52.329798,6.49519052838329,17.443265999999998
ef5f72374cbd94fa8b6f7f9a7f98cffee24b5f0d43117c18e4644d7370a834d1,4,3,1,35,34,39,141,52.329881,6.49519052838329,17.443293666666666
370aa45f0db21633c4b381eed636b46c0fd6ac038b7d8da450f5cb41d3d2e106,6,4,2,36,35,39,219,112.330978,5.5901699437494745,22.4661956
dfbaa9309052cdeadad56f252d0fc9e89663f3f98fcf7dca16293b625d0a4467,2,1,1,31,31,31,62,9.2e-05,0.0,9.2e-05
7d921672c217568a74913ce6dbb5b80780251c48c1f83fe492456aa2995abfca,6,4,2,36,35,39,219,111.331058,5.5901699437494745,22.2662116
9d771958995a05b315146def99e981406bdde04bcec342760a5c2d754d104048,20,9,11,137,205,82,2756,122.02074,190.71460353103535,6.422144210526316
5cb4a82734068117a8fd41b702cd54fe8460558481ec3f3f9bb9d98d87a51da4,6,4,2,43,42,46,261,112.330886,5.5901699437494745,22.4661772
df9ed8ba2d25049b365b574976785183d0127b55909bc37e32058ffac6bbd098,6,4,2,43,42,46,261,112.331197,5.5901699437494745,22.4662394
55767cb5819557204fb798925cad5badf1bfd2970ccac2c7903da845565b8159,6,4,2,43,42,46,261,112.332066,5.5901699437494745,22.466413199999998
7dca349f38da9423b02b62f9367d6c044850d2c3d53d38ba45cc8dd752be2171,6,4,2,36,35,39,219,112.331668,5.5901699437494745,22.4663336
6033f813270b23838b64a996dd931d86f53ba9a90767805a415fbba496ac08f1,6,4,2,36,35,39,219,112.331307,5.5901699437494745,22.4662614
ccde08cd1be6e511954815974f165797c3b3839aab7c6081780be3715fecae34,6,4,2,36,35,39,219,112.330831,5.5901699437494745,22.4661662
8675336e5ecb91833226a27b6a9b051d185404164ee139efffe31e38175051b5,4,3,1,35,34,39,141,53.328901,6.49519052838329,17.776300333333335
126841e1db304150800a9676ee3de0036a361d8f9695a8eb6b7c4abeab7bd4bc,2,1,1,26,24,28,52,9.6e-05,2.0,9.6e-05
957763c28167fc41bdd798c45b3c0fb1c2d8b207a595c9b035299c7a4f54fca2,1,1,0,31,31,0,31,0.0,0.0,0
