Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
52ad44afbf6171ac726b2cd4216366f63d2b0490d0ba1f9b36e44a06831c0e83,20,10,10,281,119,443,5630,170.62,407.26,18.96,13.01,26.78,24.27
579a33d93e717348875fce242ae5fb3c995dff83629e5c6095ac726e1b2724b6,24,10,14,435,103,672,10450,170.55,553.02,18.95,9.00,26.82,21.09
5eed5b84ddda0aeac6a3b2408c897e5ed05dd31754bc7da2f5a6dec0c21e111c,21,9,12,236,167,289,4973,170.54,323.99,21.32,10.63,27.50,22.50
d3f532a57658fb49012e80fc0ca7cebf8041641249fd2e18342cd0486861dd17,19,10,9,236,126,358,4491,170.51,328.07,18.95,14.62,26.81,25.31
60b5feacbf4e680230df7ec6eaa5901ba8367a58e2ad92cca90949fc8e81e243,14,8,6,234,115,392,3280,170.43,369.75,24.35,23.37,28.14,28.61
70a8b8756ae47eadbc0571baf7c1c8559355e35921fbbfd56c526fdc110fc9a8,101,42,59,211,282,161,21407,128.87,238.43,3.14,2.22,12.61,10.70
43e03cb7a7822d0c2937b524f75017c2cec6a872f46ae9692307a30a8a2a340a,30,15,15,415,364,466,12467,29.26,485.31,2.09,2.09,4.97,4.98
5ca926b1c74400f4a5deeb6dd6aea5ee2f89dab58e7f838b6c99cc8315317648,34,11,23,688,123,958,23405,170.33,611.65,17.03,5.31,26.04,16.77
f6eadb77f997c66334c6df57ece1671cb7ebcb7b78dd22567a677f25c7aaa512,17,9,8,321,129,538,5466,170.29,463.73,21.29,24.32,27.50,28.12
3dff5ea33987d9355b6121c8c3355be0783e3030ada0047118947883b6b4dc81,62,11,51,1627,268,1920,100911,171.57,2184.79,17.16,2.36,26.15,11.50
0fc467c2280066345d9c3a457f0b51c81fad543486006d4f854b5756f476b641,32,16,16,188,206,170,6023,172.12,387.99,11.02,11.47,6.59,6.42
61588991719f50e6048db5244fc5797aa9fc67478ced8d2cdf49f124cf49d15a,378,177,201,6841,1143,11859,2586222,123.51,9243.27,0.70,0.62,6.20,5.82
9b6278e42f190c65a7150f1ddbc0f8c7247e5404069c9c9c2d36146f65596079,30,10,20,2070,146,3032,62113,117.12,2841.49,13.01,6.16,24.25,17.91
93891ecccd851f9e56895d07d6197d7a0b2a0fe94ad6c5b1f44f2fa2b735aa0a,26,10,16,1139,143,1761,29619,117.11,1730.05,13.01,7.81,24.30,19.88
4a94207ffd9f26f1d7050e0270ac7c100fb7daaf1c1a3ef1d0a703a22f8ef0f3,19,7,12,475,159,660,9037,116.95,580.11,19.49,10.63,27.55,22.55
95c83d1623b59e31298f4a09e235e1e57afc4bcbaf45136e9b1faf33ea3bbed9,19,8,11,1194,304,1842,22696,116.91,1807.37,16.70,11.69,26.39,23.37
78338c23864b310a9c93dfb98c184976fd5eccc5385cd08853afb7da4ea577f9,162,70,92,1715,732,2464,277972,122.66,2947.76,1.78,1.35,9.86,8.61
05163147427b6d159bec031385290af0bf9e9857c253bf08b9059eaf51bba5be,10,4,6,416,198,561,4161,0.03,524.89,0.01,0.00,0.01,0.01
36b9f075fa1f65c0e8279f9d0faf2ddad05da803a32a77a54a191d4743de638d,32,14,18,1651,148,2820,52853,118.51,2576.93,9.12,6.97,21.01,18.77
5ea77086503d398c6befe2a84cfc429b3aba962035adf00e81bed67958feedb4,49,24,25,859,817,899,42106,121.47,520.39,5.28,5.06,16.51,16.19
aa93f57a4b706fbc6c222d476c94f37f4319bf12862ed89b81f8d3a9217a2899,56,24,32,721,826,643,40408,120.76,558.42,5.25,3.89,16.52,14.40
cfe89e6aa9591a640ae991db640cc673824ff719bac4a292c14d35e06e933128,62,37,25,679,919,322,42104,3.24,559.76,0.09,0.13,0.18,0.21
cdc7dad7b41a281ceeb536217fca7de471c0e48fea44cc9d408c883532df8e75,12,5,7,530,477,568,6366,60.83,503.03,15.21,10.13,26.24,22.58
283a7e32c86a516fed26ae66fd4125aca9f4a11abb9431b6caac8cfa6cd21d4b,15,8,7,493,326,683,7398,0.18,576.80,0.03,0.02,0.05,0.05
7502590ba020c768ed763577cf75ff50f6c1d42715752fd5029b0dc3ab0cecdf,141,90,51,778,800,739,109745,0.28,590.01,0.00,0.01,0.01,0.02
8b81affca5858c88d83f840b785d47c88775b86159339d97a6bf23ab3096df72,15,7,8,294,187,388,4424,0.09,358.31,0.02,0.01,0.03,0.02
ea2f6c09b2a5b15cffcaeb0fbb16763fe3d9ea418d69305e47a5b2bc5e3ad6ab,101,51,50,199,90,311,20158,1.51,348.57,0.03,0.03,0.05,0.05
ee609d86ba6fa8debf9569832cff9957f1d4d1fe71f542312716947021df1444,714,158,556,975,242,1184,696840,6.54,577.80,0.04,0.01,0.41,0.22
517c935c6706a1bbb0842669edfc86e5aa14f28bc155c2cf273d27b10a14c404,32,16,16,502,233,771,16081,0.08,592.36,0.01,0.00,0.01,0.01
976392cb0c9ff71a63741e2fefe4460cdcd0335c43faa229cb66fa925a8e097b,32,16,16,491,269,713,15732,0.09,576.77,0.01,0.01,0.01,0.01
ec7e7c961c190a1957dc81fb0ac8ce17e2ccf769bfa1280fe91c0a4beddc114d,31,17,14,528,207,917,16374,0.14,610.30,0.01,0.01,0.01,0.01
01884388cfe3d5fa37482a0413f737d472a24e046aaccbe39af41e8d1cfbb953,13,6,7,224,245,206,2916,0.02,267.06,0.00,0.00,0.01,0.00
