Port 1,Port 2,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type,inter packet time
49723,443,290,87,203,692,214,897,200958,30.485446,623.7169713553722,0.10548597231833912
57968,443,360,78,282,1005,76,1262,361900,7.448768,579.3004646943257,0.020748657381615587
34239,443,16,7,9,525,305,696,8405,0.038227,572.447674328187,0.0025484666666666664
54477,443,118524,20687,97837,1131,49,1359,134074054,73.503139,503.48489834594926,0.0006201592855395126
37508,443,14,7,7,208,210,206,2915,0.024683,262.6336880174222,0.0018986923076923074
33934,443,4,3,1,35,34,39,141,52.232034,6.49519052838329,17.410677999999997
48746,443,33,14,19,296,210,359,9773,0.205746,434.05495540989523,0.0064295624999999995
38626,443,52,17,35,762,219,1026,39674,0.486842,633.2866941459046,0.009545921568627451
443,51236,28,15,13,29,28,31,836,191.923268,3.6421567954234177,7.1082691851851845
48386,443,14,7,7,208,210,206,2916,0.026197,262.7449683007211,0.002015153846153846
46858,443,6,4,2,36,35,39,219,112.026865,5.5901699437494745,22.405373000000004
47690,443,2,2,0,31,31,0,63,0.00024,7.5,0.00024
49705,443,971,217,754,971,91,1225,943792,66.218131,583.5515129513592,0.06826611443298945
55174,443,14,7,7,208,210,206,2915,0.02734,262.6336880174222,0.0021030769230769232
58738,443,4,3,1,35,34,39,141,52.896907,6.49519052838329,17.63230233333333
52292,443,14,7,7,208,210,206,2916,0.025567,262.7449683007211,0.0019666923076923077
34939,443,825,289,536,614,430,713,507125,131.722413,623.067839336183,0.15985729733009704
48617,443,130,61,69,354,136,548,46143,83.894282,494.1952325446114,0.6503432713178294
51172,443,7,4,3,246,161,360,1727,0.829765,227.6530657982601,0.13829416666666666
40700,443,14,7,7,208,210,206,2916,0.025628,262.6370196328626,0.0019713846153846153
50008,443,73,23,50,807,130,1119,58970,2.716622,627.4535764639298,0.03773086111111111
41616,443,1377,296,1081,1063,71,1335,1464907,0.101694,551.990640366473,7.390552325581367e-05
58068,443,14,7,7,208,210,206,2916,0.026511,262.7449683007211,0.0020393076923076923
46042,443,56,24,32,480,252,651,26912,6.178003,571.9506677385127,0.11232732727272729
39810,443,2161,337,1824,1142,84,1337,2467953,0.489158,491.99135779438984,0.00022646203703703674
55388,443,1138,233,905,1075,81,1331,1224339,0.155218,542.7020688932653,0.00013651539138082638
58080,443,14,7,7,208,210,206,2916,0.026068,262.7449683007211,0.0020052307692307687
44070,443,2803,468,2335,1123,86,1331,3150034,5.501809,507.0977049032586,0.001963529264810847
55250,443,1695,350,1345,1063,77,1319,1801941,33.28164,551.7261438813371,0.019646776859504143
56544,443,19,6,13,717,314,903,13629,25.096906,604.1997798420807,1.3942725555555555
48363,443,564,148,416,961,103,1267,542342,23.979415,602.2356479006651,0.042592211367673175
45842,443,217,62,155,931,100,1264,202176,0.263844,615.0384225802267,0.0012214999999999995
443,47484,2,1,1,26,24,28,52,8e-05,2.0,8e-05
