Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type,inter packet time
3b24516010dd162196692dbacaea5463a2fadca77a2f5987c4e1151f1bdd72a6,25,13,12,29,28,31,737,173.00061,3.0609802351534388,7.2083587499999995
78e948e16b86e214e9d8f7696e85bdc9b6aa1363c076aef19f1c831c773685df,267533,59710,207823,1069,45,1363,286008890,172.585479,550.5207214157092,0.0006451021896446032
8eec7c52aa3235dfea1953f3011d43f255faa565171090db691defdfc2a87c2f,16,8,8,378,447,310,6063,0.074761,505.90839941016003,0.004984066666666666
a40de6d6ee76522a9509d4cec22d2ea36aa16468891403137c406bcddc6e76c4,2,2,0,38,38,0,77,9.8e-05,7.5,9.8e-05
3e06681a9bafa8e0201afa84bc758374c01953a185f4e112330a190cf8870015,2,2,0,31,31,0,63,0.000181,7.5,0.000181
7dd815bf3520901aa96315f38280485b1d0c28629da66f51d57f9c6dac207fa2,16,8,8,383,455,310,6131,0.075161,507.82110761935644,0.005010733333333334
8a3bb7e26d50afb577848b39d700a31fd1e22413c836a32461483bf18a824392,7,4,3,246,161,360,1727,0.063903,227.6530657982601,0.0106505
c2e24ad2ba1848c56b64e1e0ad0fff0cab4888013311334a351dd2815b632768,21,10,11,360,491,242,7579,5.03029,500.21213640404176,0.2515145
ced6cb4d3137f8918b100cae671fde9f671d0426f27b8f57936c62152932bde9,16,8,8,382,454,310,6119,0.07711,507.452949635481,0.005140666666666667
13923b578001d7d26392c5ed5de9e55161d3be3c4ed5fff75262a41a1f65d769,2,1,1,26,24,28,52,0.000135,2.0,0.000135
2d94d6d2d4b319a35b2cbc4230a0b197e62455da3a60f545abe515572fb3be1f,16,8,8,380,449,310,6080,0.074702,506.36967721221225,0.0049801333333333335
